id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Bones,Red Canyon,country,melancholic,0.58,96,0.38,0.61,0.74
12,Darkroom,Cipher Null,metal,angry,0.97,178,0.22,0.44,0.07
13,Bossa Nova Sunday,Clara Mares,bossa nova,relaxed,0.34,88,0.78,0.67,0.91
14,Carnival Ghost,Papaya Dream,latin,energetic,0.85,140,0.90,0.92,0.14
15,Hollow Bells,Ashwood,folk,sad,0.29,64,0.31,0.39,0.93
16,Pixel Dancer,Glitchwave,electronic,euphoric,0.89,128,0.88,0.95,0.04
17,Winter Garden,The Velour,classical,peaceful,0.22,52,0.66,0.25,0.97
18,Blue Collar Blues,Muddy Rail,blues,melancholic,0.55,76,0.40,0.50,0.82
19,Heat of the Moment,Solaris Band,r&b,romantic,0.71,102,0.83,0.78,0.30
20,Neon Dojo,Samurai Circuit,hip-hop,confident,0.80,95,0.62,0.85,0.11
21,Tundra March,Frost Collective,post-rock,intense,0.83,144,0.35,0.52,0.26
22,Open Road,Dusk Riders,country,happy,0.67,108,0.80,0.72,0.68
